id,channel,text,kein_Geschwurbel,Coronaverharmlosung,Impfung_ist_gefährlich,Maßnahmenkritik,alternative_Gegenmittel,Coronaverschwörung,QAnon,sonstige_Verschwörung,GMF,Indoktrination,Staat_als_Gegner,Pseudowissenschaft,Schlafschafe,Millenarismus,sonstiges_Geschwurbel
1,gunnarkaisertv,"Wieder mal ein sehr perpetuierendes Video der Liberty Academy, diesmal auch über die Identitäre Bewegung. Fakt ist: Die Macher der Liberty Academy haben die Texte der IB gelesen und verstanden, was hinter der vereinnahmenden Rhetorik steckt. („Wir sind doch nur eine migrationskritische Sammelbewegung.“) Was die Kommentare (mal wieder) zeigen: Für das, was man bei den Grünen und Neu-Linken als ideologische Mimikry mittlerweile durchschaut, ist man auf dem rechten Auge blind. Was die Kollektivisten aller Länder nicht wahrhaben wollen: Nur weil einer den Mainstream kritisiert, muss das nicht heißen, dass seine Lösungen zu Frieden und Freiheit führen werden. Sad! https://youtu.be/7AI5yZg4Jl8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,unblogd,"Nachtrag zum #YouTubeStreik Die Aktion war ein voller Erfolg und hat sogar unpolitische Menschen zum Nachdenken &amp; Handeln angeregt! Hier ein Telegram Kommentar (danke dafür!): ""Witzigerweise bin ich erst durch den YouTube Streik auf dich aufmerksam geworden. Vorher warst du mir noch nicht bekannt, hab's erst über Chris Ares mitbekommen und mir dann deine Seite angeschaut. Bislang war ich politisch auch mehr neutral eingestellt, habe mich zwar schon mit den Meinungen identifizieren können, war aber immer skeptisch, denn man lernt ja von klein auf das rechts schlecht ist. Doch nachdem die Regierung jetzt politisch Andersdenkende in die Rechte Ecke drängt, die ich weder als rassistisch noch Als böse Menschen einordnen kann, habe ich dadurch erst angefangen eure Seiten zu liken mir eure Beiträge gründlich anzuschauen mich politisch weiter zu bilden und mir eine eigene Meinung über Menschen wie dich , never forget Nicki , Chris Ares... zu machen. Und ich muss sagen bei euch fühle ich mich genau richtig . Ihr seid ehrlich , standhaft , authentisch und habt das Herz am rechten Fleck.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,expresszeitung,"„Generieren“ von “Wunschpublikum“ ""Zufälle gibt´s, die gibt´s gar nicht: Das Publikum in der Lanz-Sendung mit Hans-Georg Maaßen am 17. Dezember war derart stramm auf der Linie des Moderators, dass es die Aussagen des Ex-Verfassungsschutzpräsidents fast durchwegs mit eiskaltem Schweigen quittierte - dafür aber immer wieder lautstark klatschte, wenn es gegen den Konservativen ging. [...] Was der Leser fand, ist mehr als erstaunlich: Diskret in dem Bereich, den man im Schriftlichen das „Kleingedruckte"" nennen würde, ist auf einer Internetseite der „Fernsehmacher“ zu sehen, was sie neben „Lanz“ fürs ZDF noch anzubieten haben: „Zuschauerkoordination“. Allein schon dieser Begriff in der Überschrift macht neugierig. Darunter ist dann konkret beschrieben, worum es bei dieser „Zuschauerkoordination“ geht""... (jg) Hier den hochspannenden Artikel weiterlesen: https://www.reitschuster.de/post/zuschauermarketing",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,holistischegesundheitheilung,"Diese Internetseite beschäftigt sich mit den gesundheitsschädlichen Auswirkungen, die von MRT-Kontrastmitteln ausgehen. Dazu zählen insbesondere die nephrogene systemische Fibrose (NSF) und die Gadolinium Deposition Disease (GDD). Ziele sind die Information der Bevölkerung, die Unterstützung Betroffener und ein Verbot aller gadoliniumhaltigen MRT-Kontrastmittel. https://www.gadolinium-vergiftung.de/ . @bambuchal https://t.me/s/bambuchal - auch ohne Telegram aufrufbar . .",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,kulturstudio,"Wenn der grüne Orwellstaat mit seinem CO2 -Verhaltensrating mit „Schwarz-Grün“ überall realisiert ist, werden Kinder zu einer CO2-Klimasünde mit und Eltern von 2 Kindern zu Klimaverbrechern. Da ja nach der CO2-Verhaltensstudie ein Kind mit 58,6 Tonnen CO2-Abzug bestraft werden. Dann gibt es auch bei uns eine Kinderplanungsbehörde wie in China Zitat: „Wie lautet die Vorschrift? Sie müssen sich sterilisieren lassen!“ Kommt doch ein Kind wird es für sein Dasein bestraft und aus der Gesellschaft ausgeschlossen. Kein Recht auf Schule, kein Recht auf einen Pass, kein Recht auf nichts! Bußgeldhandel folgt! So bedienen sich die Funktionäre!! Hitlers Faschismus und Orwells Big Brother waren nichts dagegen! Alles real! Vor allem: 5G ist Huaweis Überwachung. Ihr seht: Wir wachsen elektronisch und ideologisch zusammen.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,wir_sind_viel_mehr,"EILMELDUNG!!! BITTE TEILEN!!! Putin ist zum ersten Mal seit 9 Jahren zu einem „spontan Besuch“ in Damaskus eingetroffen. Video vom Treffen: http://bit.ly/2Fv9VZu „Vom Flughafen in Damaskus fuhr der Wladimir Putin zu einem Kommandostand der russischen Streitkräfte in Syrien. In der Kommandozentrale traf Wladimir Putin Baschar Al-Assad. Die Staats-und Regierungschefs hörten Berichte des Militärs über die Lage in verschiedenen Regionen des Landes an.“ Wie ernst die Situation in der Region ist, zeigte der Besuch Putins in Syrien, der NICHT EINGEPLANT WAR!!! Darum hört auf zu glauben an die Meldungen von „unbekannten Q“, daß die Situation nur ein US-Amerikanischer Machtkampf der Eliten ist. Am 11 Januar kommt Angela Merkel Bundesaußenminister Heiko Maas nach Moskau. Das Hauptthema wird sein die Verschärfung der Situation im Nahen Osten nach dem Tod von General Suleimani. Denn der Angela und anderen Eliten ist klar, daß die Situation in Iran sie (Eliten in Europa), genauso die Menschen in Europa (auch Dich, auch wenn Du es noch nicht merkst) unmittelbar betrifft. Weitere Details im kommenden Webinar. Bitte noch auf die Umfrage antworten wegen dem besseren Tag und Uhrzeit für das Webinar. https://t.me/wjatscheslawseewald/1200 Quelle Telegram Kanal von @WjatscheslawSeewald https://t.me/wjatscheslawseewald #Syrien #Putin #Merkel #Europa #Iran #USA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,wirsindvielmehr,"Die rheinländische Stadt Solingen hat zu Schulbeginn nach den Weihnachtsferien Elektrobusse wieder gegen Fahrzeuge mit Dieselantrieb ausgetauscht. An besonders kalten Tagen hätte es Probleme mit den Batterien gegeben, teilte eine Sprecherin der Stadtwerke dem Solinger Tageblatt mit. Die E-Busse waren erst im Oktober vergangenen Jahres angeschafft worden und sind Teil eines deutschlandweiten Modellprojekts, das der Bund mit rund 15 Millionen Euro fördert, meldete das Blatt. Zum Start der Inbetriebnahme kamen auch der Vorsitzende des Verkehrsausschusses im Bundestag, Cem Özdemir (Grüne), und der Abteilungsleiter im Bundesverkehrsministerium, Klaus Bonhoff, nach Solingen. https://jungefreiheit.de/politik/deutschland/2020/probleme-mit-e-bussen-stadt-kehrt-zu-diesel-fahrzeugen-zurueck1/?fbclid=IwAR2c-uwqVTDduBREA8_GjhS69fOqIifoSlBs83aGqaY7IGkcqyYb9AHvUSY",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,epochtimesde,"+++ Epoch Times wünscht Ihnen einen schönen Freitagabend! +++ Hier für Sie eine aktuelle Auswahl an Nachrichten und Kommentaren aus unserer Redaktion +++ Top-Thema... Pentagon bestätigt Boeing-Abschuss bei Teheran – Iran dementiert – Vier Opfer aus Deutschland https://www.epochtimes.de/politik/deutschland/pentagon-bestaetigt-boeing-abschuss-bei-teheran-iran-dementiert-vier-opfer-aus-deutschland-a3121707.html Nachrichten aus Deutschland... Umfrage: Migration ist wichtigstes Thema – Bundesbürger wollen Lösung von Problemen in der Asylpolitik https://www.epochtimes.de/politik/deutschland/umfrage-jeder-dritte-sieht-zuwanderung-als-wichtigstes-politikthema-a3121259.html Türkei will Schulen in Deutschland gründen https://www.epochtimes.de/politik/deutschland/zeitung-tuerkei-will-schulen-in-deutschland-gruenden-a3121373.html Bundesregierung wirbt mit viel Geld auf Facebook für eigene Politik https://www.epochtimes.de/politik/deutschland/bundesregierung-wirbt-mit-viel-geld-auf-facebook-fuer-eigene-politik-a3121341.html Grüne feiern 40-jähriges Bestehen: Von der radikalen Protestpartei zum Koalitionspartner https://www.epochtimes.de/politik/deutschland/gruene-feiern-40jaehriges-bestehen-von-der-radikalen-protestpartei-zum-koalitionspartner-a3121408.html Ehemaliger Bundespolizist Nick Hein: Linke Hausbesetzer terrorisieren Berlin https://www.epochtimes.de/politik/deutschland/nick-hein-video-aus-berlin-die-geduldeten-extremisten-der-hauptstadt-a3120774.html „Wo der Handel stirbt, sterben Stadtzentren“: Handelsverband schlägt Alarm wegen sinkender Kundenzahlen https://www.epochtimes.de/politik/deutschland/wo-der-handel-stirbt-sterben-stadtzentren-handelsverband-schlaegt-alarm-wegen-sinkender-kundenzahlen-a3121493.html Disziplinarverfahren bestätigt: Mann von Familienministerin verliert Beamten-Job https://www.epochtimes.de/politik/deutschland/disziplinarverfahren-bestaetigt-mann-von-familienministerin-verliert-beamten-job-a3121448.html Kohleausstieg: Dattel 4 sorgt für Aufregung – Kretschmer und Haseloff sehen Osten benachteiligt https://www.epochtimes.de/politik/deutschland/kohleausstieg-dattel-4-sorgt-fuer-aufregung-kretschmer-und-haseloff-sehen-osten-benachteiligt-a3121573.html Trittin: Wir sind heute personell so gut aufgestellt, dass wir auch den Kanzler stellen können https://www.epochtimes.de/politik/deutschland/trittin-wir-sind-heute-personell-so-gut-aufgestellt-dass-wir-auch-den-kanzler-stellen-koennen-a3121527.html Im Blickpunkt – Iran/Irak... Trump beschließt neue Sanktionen gegen den Iran https://www.epochtimes.de/politik/welt/trump-beschliesst-neue-sanktionen-gegen-den-iran-a3121210.html Weitere Auslandsnachrichten... Britisches Unterhaus verabschiedet Gesetz zum Brexit-Deal https://www.epochtimes.de/politik/europa/britisches-unterhaus-verabschiedet-gesetz-zum-brexit-deal-2-a3121149.html Hunderttausende demonstrieren gegen Macrons Rentenpläne https://www.epochtimes.de/politik/europa/hunderttausende-demonstrieren-gegen-macrons-rentenplaene-a3121239.html Orban kritisiert EVP-Fraktion scharf: „Wir werden sozialistischer und verteidigen unsere ursprünglichen Werte nicht“ https://www.epochtimes.de/politik/europa/ungarns-ministerpraesident-kritisiert-evp-fraktion-scharf-a3121153.html Russischer Soldat macht „Hölle“ beim Militär für achtfachen Mord verantwortlich https://www.epochtimes.de/politik/welt/russischer-soldat-macht-hoelle-beim-militaer-fuer-achtfachen-mord-verantwortlich-a3121081.html Trauer um „Märtyrer“ Soleimani in Berlin – Stadt sieht keine Handhabe gegen Terrorverherrlichung https://www.epochtimes.de/politik/deutschland/trauer-um-maertyrer-soleimani-in-berlin-stadt-sieht-keine-handhabe-gegen-terrorverherrlichung-a3121683.html Mehr aktuelle Nachrichten auf www.epochtimes.de Viele Grüße Ihre Epoch Times Redaktion🗞",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,nachrichtenwelt,"Die USA haben in dieser Region nichts mehr zu suchen. Sie haben die Kriege im Irak und Syrien verloren, also müssen sie Irak und Syrien verlassen ! NOCH können sie es sich aussuchen, ob sie freiwillig gehen, oder in Särgen rausgetragen werden wollen. Viel Zeit bleibt ihnen für diese Entscheidung aber nicht, denn die Achse des Widerstands wird das für sie sehr günstige Momentum nutzen und die Besatzungstruppen erheblich unter Druck setzen. https://deutsch.rt.com/nordamerika/96703-washington-uebergeht-forderung-seines-partners-irak-truppen/",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,expresszeitung,"Gestern teilten wir die sehr gelungene Übersetzung von Gervais Golden Globes Rede. Das Video hat sich recht schnell verbreitet. Auf Nachfrage hat der Ersteller nun seine Kanäle nachgeliefert. Bestimmt wird er auch in Zukunft gute Videos produzieren. Im nachfolgenden Text können Sie lesen, wo Sie ihm folgen und ihn abonnieren können: https://www.bitchute.com/video/ZkAGCz0d5eYE/ Das Video ist inzwischen auch bei mir auf BitChute zu finden. Mein YouTubekanal ist weiter oben gelistet :) https://www.youtube.com/channel/UCwHQ-_-MNYb010hM0zrD3qg Danke! Nachtrag: ich habe mich jetzt etwas besser aufgestellt und einen Telegram-Kanal erstellt, wo ich alle meine Inhalte einpflege. YouTube und BitChute bespiele ich parallel, was sonst noch übrig bleibt kommt nur über Telegram. Danke und Grüße. Hexdrop auf Telegram: t.me/Hexdrop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
