channel,id,datetime,text,Suggestivität,Absolutheitsanspruch und Umgang mit Quellen,Emotionalität,Auffälligkeit der Argumentation,Komplexitätsreduktion,Entfernung von Wirklichkeit,Gesamtschwurbeligkeit
wirsindvielmehr,2784,2020-01-10T20:35:53Z,"""Männer"" - was auch sonst?- bedrohen 22-Jährige mit Messer und zwingen sie in den Wald‼

Als ein weiterer bislang unbekannter Mann hinzukam, sollen beide Männer die Frau aufgefordert haben, mit ihnen in das angrenzende Waldstück zu gehen. Dabei hätten sie mit einem Messer gedroht, heißt es weiter von der Polizei.

Anschließend sollen die Männer an der Kleidung der jungen Frau gerissen und ihren Rucksack durchsucht haben. Dann haben sie sie laut Polizei auch noch aufgefordert, sich auf den Boden zu legen. ""Sie rannte an die Straße und bat vorbeifahrende Autofahrer um Hilfe"", berichtet die Polizei.
Die beiden Unbekannten sollen dann mit einem dunklen Auto davongefahren sein. Die Polizei Gütersloh sucht Zeugen.

Hinweise nimmt die Polizei Gütersloh unter Tel. (0 52 41) 86 90 entgegen.

Bei dieser perfekten Täterbeschreibung wird die Polizei sicherlich schnell fündig. Immerhin ist - wie immer - das Geschlecht geklärt. 😉

♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️
https://www.nw.de/lokal/kreis_guetersloh/harsewinkel/22661740_Maenner-bedrohen-22-Jaehrige-mit-Messer-und-fuehren-sie-in-Wald.html",3.3333333333333335,2.3333333333333335,2.6666666666666665,2,2.6666666666666665,1.3333333333333333,2.3333333333333335
kulturstudio,3095,2020-01-21T18:46:12Z,"https://www.focus.de/auto/news/ab-2035-fuer-die-gesamte-stadt-berliner-senatorin-fordert-fahrverbot-fuer-diesel-und-benziner_id_11575618.html

😄 😄 😄 😄 Was für infantile Phantasien… Da freue ich mich für Berlin… mal sehen wann die Leute den Senat stürmen 😄 😄

„Im Dezember hatte der Senat für Berlin den sogenannten Klimanotstand ausgerufen. Bis Mitte Januar soll ein Maßnahmenplan vorgelegt werden. Umweltsenatorin Regine Günther fordert in diesem Zusammenhang offenbar das Komplettverbot für alle Diesel und Benziner.

Ab 2030 innerhalb des S-Bahn-Gebiets, ab 2035 dann in der gesamten Stadt: Die Berliner Verkehrs- und Umweltsenatorin Regine Günther (Grüne) will das Autofahren mit Benzin- oder Dieselmotoren künftig verbieten. Das geht aus einer Senatsvorlage hervor, die der ""Berliner Zeitung"" vorliegt. Der Vorschlag sei demnach Teil eines Maßnahmenpakets, das die Stadt Berlin bis Mitte Januar präsentieren will. Dabei stehe das Ziel, schnellstmöglich klimaneutral zu werden, im Zentrum.

Als Rechtsgrundlage für das Verbot der Fahrzeugnutzung hunderttausender PKW, Transporter und LKW soll offenbar ein unbestimmter Rechtsbegriff dienen. Bereits im Dezember 2019 hat Berlin wie viele andere Städte Deutschlands den sogenannten Klimanotstand ausgerufen. Dabei handelt es sich um einen Beschluss, mit dem Regierungen oder Parlamente erklären, dass der Klimawandel einer Krise entspreche und die bisher getroffenen Maßnahmen nicht ausreichten, um diese zu bewältigen. Teil der neuen Maßnahmen soll der ""Berliner Zeitung"" zufolge das Fahrverbot von Dieseln und Benzinern in der Hauptstadt sein.“",3.5,2.5,2.8333333333333335,2,2,2,2.5
rubikonnews,1544,2020-01-29T12:04:29Z,"• Das Recht auf Langeweile 👈
Pausenlos treibt unsere Gesellschaft ihre Mitglieder voran, damit sie sich ebenso permanent selbstverwirklichen. Wer vor Energie brennt und ständig die vermeintliche Erfolgsleiter hinauf steigt, verdient besondere Anerkennung. Nur ist dieser Karriereweg in Wirklichkeit ein Hamsterrad und das wiederum eine Scheinwelt, die Langeweile nicht akzeptieren kann. Das mag gut für das System sein, nur: Sollte das System nicht eher für die Menschen da sein, statt umgekehrt?
@RubikonNews : weiter lesen",3,4,2.6666666666666665,3,2.6666666666666665,2.3333333333333335,3.3333333333333335
alternativemedien,43977,2020-01-30T14:29:36Z,"Der Klimawandel und die globale Umweltkrise verschärfen laut einem Bericht der Weltnaturschutzunion (IUCN) die Gewalt gegen Frauen und Mädchen, teilte „The Guardian“ mit. Der Grund sei, dass man bei der Bekämpfung der Umweltzerstörung die Ungleichheit der Geschlechter und die Auswirkungen auf Frauen und Mädchen nicht berücksichtige. Dies führe zur Verschwendung von Ressourcen und zum Scheitern der Versuche, […]",2,2,1,1,3,1.6666666666666667,2
klagemauerwand,1066,2020-02-12T16:38:56Z,Ich habe in jemandem interesse an der azk gewekt ! Jedoch ging sie natürlich auf wikipedia schauen wo der gründer ivo saseck und die gesampte azk als verschwörungs theoretiker hin gestellt werden und der ivo als schlimmer mann ! Und ihm klar zu machen das dies gesagt wird um möglichst weg zu schauen wer dies den eigentlich ist ! War un möglich . Den im nez algemein findet man definitiv blos negative dinge . Man muss wirklich den schritt tun und in die sendungen rein schauen !,3.3333333333333335,4,3.6666666666666665,4.333333333333333,2.6666666666666665,4.333333333333333,4.333333333333333
wochenblick,278,2020-02-12T18:47:34Z,"Schönen Abend aus der Wochenblick-Redaktion!

Schauen Sie eigentlich schon regelmäßig auf www.wochenblick.TV vorbei? Wir freuen uns, Ihnen dort bald etwas ganz Besonderes präsentieren zu dürfen:

„Der schwere Neustart der FPÖ"" - Über dieses packende Thema wird Wochenblick-Chefredakteur Christian Seibert am 18. Februar ab 18:30 Uhr mit den hochkarätigen Gästen Michael Schnedlitz, Andreas Mölzer und Robert Willacker diskutieren! 
https://www.wochenblick.at/wochenblick-live-der-schwere-neustart-der-fpoe/

Weitere Wochenblick Nachrichten des Tages:

Anlegeverweigerung für Migranten: Salvini muss vor Gericht!
https://www.wochenblick.at/anlegeverweigerung-fuer-migranten-salvini-muss-vor-gericht/

Ex-Minister Kunasek kritisiert die Freilassung mutmaßlicher Islamisten:
https://www.wochenblick.at/graz-kunasek-kritisiert-freilassung-mutmasslicher-islamisten/

Und die FPÖ-Mandatarin Fürst stellt fest: „Die EU müsste Orbán einen Orden umhängen“
https://www.wochenblick.at/fuerst-eu-orden-fuer-orban/

Angenehmes Wochenteilen und einen ruhigen Abend noch!",1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1,1,1.6666666666666667
evahermanoffiziell,5888,2020-02-21T16:54:16Z,"INTERNATIONALE PRESSE : DEUTSCHLAND MACHT UNS WIEDER ANGST!!!

„Die internationale Presse sieht im Anschlag von Hanau keinen Einzelfall in Deutschland. Kanzlerin Merkel habe sich während der Migrationskrise 2015 vorbildlich verhalten. Doch derzeit erlebe die Bundesrepublik die Ausbreitung von Neonazi-Gruppen.

Die internationalen Zeitungen schauen mit Sorge auf das Attentat in Hanau. Es falle mit dem Riss im Bollwerk gegen die extrem rechten Parteien in Thüringen zusammen, schreibt „El Periódico“ aus Spanien. Die italienische „La Repubblica“ konstatiert gar, dass „Deutschland wieder Angst“ mache.

Die Schweizer „NZZ“ dringt aber darauf, zwischen rechter Demagogie und Rechtsterrorismus zu unterscheiden, ähnlich wie bei Linksterrorismus. Der britische „Guardian“ sieht auch wegen Angela Merkels Abschied turbulente Zeiten auf Deutschland zukommen und mahnt eine Aufrechterhaltung des Sperrgürtels gegen die extrem rechten Parteien an.

„El Periódico“, Spanien: Anschläge sind in Deutschland kein Einzelfall mehr

„Das Schlimmste an dem Anschlag ist, dass es sich nicht um einen Einzelfall handelt. Deutschland, dessen Kanzlerin Angela Merkel sich in der Migrationskrise von 2015 vorbildlich verhalten hat, lebt in bewegten Zeiten mit der Vermehrung von Neonazi-Gruppen und den Wahlzugewinnen der ultrarechten Alternative für Deutschland (AfD). Das Phänomen ist nicht neu, aber in letzter Zeit hat es sich verschlimmert. …

Die Anschlagswelle, die Merkel mit dem Satz ‚Rassismus ist Gift, Hass ist Gift, und dieses Gift existiert in unserer Gesellschaft‘ verurteilt hat, fällt mit dem Riss im Cordon sanitaire (Sperrgürtel) in Thüringen zusammen, den die rechten Parteien in Deutschland immer gegen die extreme Rechte aufrechterhalten hatten.“

„La Repubblica“, Italien: „Das Monster wacht auf“

„Das Monster wacht auf, und Deutschland macht uns wieder Angst. Es macht uns noch mehr Angst, denn es sieht uns ähnlich. Seine soziale Krankheit ist unsere. … """,3,2,2.6666666666666665,2,2.6666666666666665,1.3333333333333333,2.3333333333333335
frmawa,106,2020-04-05T21:50:16Z,"Liebe Mitmenschen ❤️

In der äußeren Wahrnehmung ist es ruhig geworden. 
Ruhiger auf den Straßen, ruhiger in den Tourismusgebieten, ruhiger auf den Sportplätzen, in den Vereinen, ruhiger in vielen Firmen, ruhiger in unserem täglichen Wahn des uberdrusses und Überflusses.

Doch in uns ist es auch unruhig geworden. 
Vor allem ein Großteil der Medien machen vielen Menschen Angst, besonders den Älteren.

Und dann haben wir noch alternative Medien, die uns viel darüber berichten was passiert oder auch nicht. Doch auch da werden unzählige Falschmeldungen gestreut um die Bevölkerung weiter zum Narren zu halten. 
Oder gar eine neue Matrix aufzubauen.

Und daher ist es wichtig!

Versucht ruhig zu bleiben, vertraut auf Euch, auf Eure Familie auf Eure Bekannten und Freunde.

Vertraut darauf, auch in schweren Stunden und Situationen Menschen zu haben, denen ihr Vetrauen könnt.

In diesen Zeiten sollten wir uns Alle darauf besinnen:

Wir alle sitzen im gleichen Boot.

Wir alle wollen eine Welt dessen Werte Frieden, Freiheit, Gerechtigkeit und Ehrlichkeit heißen.

😘WIR ALLEN WOLLEN LIEBE GEBEN UND BEKOMMEN.😘

Ja WIR ALLE! 🥰

So unterschiedlich wir doch sind. So sehr sehnen wir uns doch im Grunde nach den gleichen Dingen und Werten.

Damit einen sich all unsere Weltansichten. Und somit sind wir die 99% alle vereint. ❤️

Daher streitet nicht miteinander und gegeneinander.

Sondern vereint Euch für UNSER Aller Ziele.

@EuLzL",3,3.6666666666666665,4.333333333333333,2.3333333333333335,2.3333333333333335,2.6666666666666665,3
klagemauerwand,5356,2020-04-10T03:33:55Z,Drei größten Religionen haben die Endzeit in ihrem Glauben und deren Führer sind alle im selben Freimaurer illuminati satanischen Verein... Die Offenbarung letztendlich in die Realität zu holen gehört zur nwo Agenda.. Es ist schließlich mehr als der ganze Wahnsinn auf der Erde... Und nur weil kaum jemand an das feinstoffliche glaubt heißt das noch lange nicht dass es nicht existiert... Die Eliten wissen das ganz genau und nutzen es für ihre Zwecke... So in etwa...,4.333333333333333,5,3.3333333333333335,5,4.666666666666667,5,5
holistischegesundheitheilung,2143,2020-04-15T06:03:39Z,"🌎Löwenzahnwurzel-Kaffee

🌴Spätestens seit Pusteblumen und Peter Lustig steht Löwenzahn bei mir hoch im Kurs. Und seitdem ich weiß, was diese Pflanze alles kann, bin ich ein richtiger Fan geworden. Löwenzahn ist so gesund, dass er nicht nur ein Lebensmittel, sondern gleichzeitig auch eine wirksame Medizin für viele Leiden ist. Ein heimische Superfood!

Schon beim Betrachten der Pflanze, kann man ahnen, was in ihr steckt: sie ist äußerst zäh und wächst sogar an den unmöglichsten Stellen. Wer einmal versucht hat Löwenzahnpflanzen los zu werden, weiß wie widerstandsfähig sie sind. Sie sind reich an Vitaminen, Mineralstoffen, Spurenelemente und Mikronährstoffen, die sehr gute Auswirkungen auf unsere Gesundheit haben. Mit diesem Wildkraut können wir uns ein bisschen seine Zähigkeit zu eigen machen.

Dem Löwenzahn werden zahlreiche Heilfähigkeiten nachgesagt (im Netz gibt es dazu viele Infos, ich gehe hier nur auf ein paar wenige ein). Er regt zum Beispiel den Stoffwechsel an und unterstützt unter anderem die Leber und Galle bei ihrer Arbeit. Diese Wirkung ist für alle interessant, die sich an den Zuckerentzug wagen. Also schauen wir uns das einmal genauer an:

🌿Link zum Artikel

#endlichzuckerfrei #Löwenzahnwurzelkaffee #Ausscheidung #Entgiftung

https://t.me/HolistischeGesundheitHeilung/2143",3.3333333333333335,3.6666666666666665,2.3333333333333335,2.3333333333333335,3.6666666666666665,2.6666666666666665,3
